Tapa y base,Cumple con el reglamento RoHS de la UE,Vida útil nominal (nominal) h,Ciclo de alternado,Nivel,Código de color,Ángulo de haz (nominal),Flujo luminoso (nominal) lm,Designación de color,Temperatura de color correlacionada (nominal) K,Eficacia lumínica (promedio) (nominal) lm/W,Consistencia de color,Índice de reproducción de color (Nom),LLMF al final de la vida útil nominal (nominal),Frecuencia de entrada,Potencia (nominal) W,Corriente de la lámpara (máx.) mA,Corriente de la lámpara (mín.) mA,Equivalente en potencia en vatios,Tiempo de inicio (nominal) s,Tiempo de calentamiento para 60 % de luz (nominal) s,Tipo UL,Factor de potencia (nominal),Voltaje (nominal),T° ambiente (máx.) °C,T° ambiente (mín.) °C,T° almacenamiento (máx.) °C,T° almacenamiento (mín.) °C,T° estuche máxima (nominal) °C,Con regulación de intensidad,Acabado del foco,Material del foco,Longitud del producto mm,Forma del foco,Conformidad con RoHS,Certificado UL,Cumplimiento con DLC,Consumo de energía kWh/1000 h kWh,Nombre del producto del pedido,EAN/UPC: producto,Código del pedido,Numerador SAP: cantidad por paquete,Numerador: paquetes por caja externa,N.° de material (12NC),Copiar peso neto (pieza) kg,Número de modelo,Flujo luminoso (promedio) (nominal) lm,Marcado CE,Certificado KEMA Keur,Código local,Código del producto completo,Descripción del código local calculado B2B,Marca CE,Referencia de medición de flujo,Clase de eficacia energética,TUV,Número de registro de EPREL,Certificaciones Energy,Tipo técnico,Conectividad,Intensidad lumínica (nominal) cd,Corriente de la lámpara (nominal) mA,Energy Star,2200 K,2700 K,Flujo luminoso en cono de 90° (promedio) lm,Aplicación principal,Controlador incluido,Interfaz de control,Cable,Clase de protección IEC,Prueba de resplandor del cable,Período de garantía,Salida lumínica constante,Cantidad de productos en MCB de 16 A Tipo B),Tensión de entrada V,Consumo de energía de CLO inicial W,Consumo de energía de CLO promedio W,Factor de potencia (mín.),Longitud total mm,Ancho total mm,Altura total mm,Código de protección de ingreso,Código de protección de impacto mec.,Flujo luminoso inicial lm,Tolerancia del flujo luminoso,Eficacia de la luminaria LED inicial lm/W,Temperatura de color correlacionada inic. K,Índice de reproducción de color inic.,Cromaticidad inicial,Potencia de entrada inicial W,Tolerancia del consumo de energía,Vida útil media L70B50 h,Rango de temperatura ambiente,Nivel de regulación máximo
G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,835 [ CCT de 3.500 K],160 °,2000.0,Blanco (WH),3500.0,142.0,<6,82.0,70 %,De 28 K a 100 K Hz,14.0,380.0,120.0,25-28-30-32 W,0.5,0.5,Tipo A TLED: lista UL HF,0.9,100-380 V,45.0,-20.0,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,14T8/48-835/IF20/MC IA 10/1,46677547295,929002051804,1,10,929002051804,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,840 [ CCT de 4.000 K],160 °,2100.0,Blanco frío (CW),4000.0,150.0,<6,82.0,70 %,De 28 K a 100 K Hz,14.0,380.0,120.0,25-28-30-32 W,0.5,0.5,Tipo A TLED: lista UL HF,0.9,100-380 V,45.0,-20.0,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,14T8/48-840/IF21/MC IA 10/1,46677547301,929002051904,1,10,929002051904,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,850 [ CCT de 5.000 K],160 °,2100.0,Luz de día,5000.0,150.0,<5,82.0,70 %,De 28 K a 100 K Hz,14.0,380.0,120.0,25-28-30-32 W,0.5,0.5,Tipo A TLED: lista UL HF,0.9,100-380 V,45.0,-20.0,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,14T8/48-850/IF21/MC IA 10/1,46677547318,929002052004,1,10,929002052004,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,835 [ CCT de 3.500 K],160 °,2000.0,Blanco (WH),3500.0,137.0,<6,82.0,70 %,50 a 60 Hz,14.5,125.0,59.0,25-28-30-32 W,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,120-277 V,45.0,-20.0,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,14.5T8/48-835/MF20/MC IA 10/1,46677562731,929002456604,1,10,929002456604,0.22,9290024566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,840 [ CCT de 4.000 K],160 °,2100.0,Blanco frío (CW),4000.0,144.0,<6,82.0,70 %,50 a 60 Hz,14.5,125.0,59.0,25-28-30-32 W,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,120-277 V,45.0,-20.0,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,14.5T8/48-840/MF21/MC IA 10/1,46677562748,929002456704,1,10,929002456704,0.22,9290024567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,850 [ CCT de 5.000 K],160 °,2100.0,Luz de día,5000.0,144.0,<5,82.0,70 %,50 a 60 Hz,14.5,125.0,59.0,25-28-30-32 W,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,120-277 V,45.0,-20.0,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,14.5T8/48-850/MF21/MC IA 10/1,46677562755,929002456804,1,10,929002456804,0.22,9290024568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,50000.0,200000,,840 [ CCT de 4.000 K],160 °,2100.0,Blanco frío (CW),4000.0,150.0,<6,80.0,70 %,50 a 60 Hz,14.0,170.0,50.0,,0.5,0.5,,0.92,100-277 V,45.0,-20.0,65.0,-40.0,55.0,No,Esmerilado,,1200.0,"Tubo, terminal doble",Sí,,,14.0,MASTER LEDtube STD 1200mm 14W840 T8 I W,46677554224,929001375442,1,25,929001375442,0.1,,2100.0,Sí,Sí,554220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,840 [ CCT de 4.000 K],160 °,2100.0,Blanco frío (CW),4000.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,183.0,69.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,,,1200.0,"Tubo, terminal doble",Sí,Sí,,18.0,MASTER LEDtube 1200mm HO VWV 18W 840 T8,8718696811191,929001877312,1,10,929001877312,0.22,,,Sí,Sí,350223.0,871869681119100.0,MAS LEDtube 1200mm HO VWV 18W 840 T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,865 [ CCT de 6.500 K],160 °,2100.0,Luz de día fría,6500.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,183.0,69.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,,,1200.0,"Tubo, terminal doble",Sí,Sí,,18.0,MASTER LEDtube 1200mm HO VWV 18W 865 T8,8718696811214,929001877412,1,10,929001877412,0.22,,,Sí,Sí,350231.0,871869681121400.0,MAS LEDtube 1200mm HO VWV 18W 865 T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,840 [ CCT de 4.000 K],160 °,1050.0,Blanco frío (CW),4000.0,105.0,<6,80.0,70 %,50 a 60 Hz,10.0,101.0,38.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,Esmerilado,,600.0,"Tubo, terminal doble",Sí,Sí,,10.0,MASTER LEDtube 600mm HO VWV 10W 840 T8,8718696811238,929001877512,1,10,929001877512,0.12,,,Sí,Sí,350207.0,871869681123800.0,MAS LEDtube 600mm HO VWV 10W 840 T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,865 [ CCT de 6.500 K],160 °,1050.0,Luz de día fría,6500.0,105.0,<6,80.0,70 %,50 a 60 Hz,10.0,101.0,38.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,Esmerilado,,600.0,"Tubo, terminal doble",Sí,Sí,,10.0,MASTER LEDtube 600mm HO VWV 10W 865 T8,8718696811276,929001877612,1,10,929001877612,0.115,,,Sí,Sí,350215.0,871869681127600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,840 [ CCT de 4.000 K],190 °,2100.0,Blanco frío (CW),4000.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,175.0,68.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,50.0,No,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,,,MASTER LEDtube 1200mm HO VWV 18W 840 T8,8719514469259,929003557512,1,20,929003557512,0.195,,,Sí,Sí,,871951446925900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,865 [ CCT de 6.500 K],190 °,2100.0,Luz de día fría,6500.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,175.0,68.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,50.0,No,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,,,MASTER LEDtube 1200mm HO VWV 18W 865 T8,8719514469273,929003557612,1,20,929003557612,0.195,,,Sí,Sí,,871951446927300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,840 [ CCT de 4.000 K],190 °,1050.0,Blanco frío (CW),4000.0,105.0,<6,80.0,70 %,50 a 60 Hz,10.0,92.0,36.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,50.0,No,Esmerilado,Plástico,600.0,"Tubo, terminal doble",Sí,Sí,,,MASTER LEDtube 600mm HO VWV 10W 840 T8,8719514469297,929003557712,1,20,929003557712,0.106,,,Sí,Sí,,871951446929700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,,865 [ CCT de 6.500 K],190 °,1050.0,Luz de día fría,6500.0,105.0,<6,80.0,70 %,50 a 60 Hz,10.0,92.0,36.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,50.0,No,Esmerilado,Plástico,600.0,"Tubo, terminal doble",Sí,Sí,,,MASTER LEDtube 600mm HO VWV 10W 865 T8,8719514469310,929003557812,1,20,929003557812,0.106,,,Sí,Sí,,871951446931000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,MASTER Value,840 [ CCT de 4.000 K],190 °,3100.0,Blanco frío (CW),4000.0,151.0,<6,80.0,70 %,50 a 60 Hz,20.5,97.0,89.0,,0.5,0.5,,0.9,220-240 V,45.0,-20.0,65.0,-40.0,65.0,No,Esmerilado,Cristal,1500.0,"Tubo, terminal doble",Sí,,,21.0,MASTER LEDtube VLE 1500mm HO 20.5W 840 T8,8718699646936,929002021802,1,10,929002021802,0.25,,,Sí,Sí,,871869964693600.0,,Sí,Sphere,D,Sí,1095869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,60000.0,200000,MASTER Value,865 [ CCT de 6.500 K],190 °,3100.0,Luz de día fría,6500.0,151.0,<6,80.0,70 %,50 a 60 Hz,20.5,97.0,89.0,,0.5,0.5,,0.9,220-240 V,45.0,-20.0,65.0,-40.0,65.0,No,Esmerilado,Cristal,1500.0,"Tubo, terminal doble",Sí,,,21.0,MASTER LEDtube VLE 1500mm HO 20.5W 865 T8,8718699646950,929002021902,1,10,929002021902,0.25,,,Sí,Sí,,871869964695000.0,,Sí,Sphere,D,Sí,1095870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,25000.0,50000,,840 [ CCT de 4.000 K],240 °,2100.0,Blanco frío (CW),4000.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,160.0,95.0,,0.5,0.5,,0.92,100-240 V,45.0,-20.0,65.0,-40.0,65.0,No,,,1200.0,"Tubo, terminal doble",Sí,,,18.0,CorePro LEDtube 1200mm HO 18W840 C W G,8718699637613,929002000072,1,25,929002000072,0.225,,,,,,871869963761300.0,Lâmpada Led Tubular CPLTUBET8-18W2100MVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,25000.0,50000,,865 [ CCT de 6.500 K],240 °,2100.0,Luz de día fría,6500.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,160.0,95.0,,0.5,0.5,,0.92,100-240 V,45.0,-20.0,65.0,-40.0,65.0,No,,,1200.0,"Tubo, terminal doble",Sí,,,18.0,CorePro LEDtube 1200mm HO 18W865 C W G,8718699637637,929002000172,1,25,929002000172,0.225,,,,,,871869963763700.0,Lâmpada Led Tubular CPLTUBET8-18W2100MVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000X,,840 [ CCT de 4.000 K],240 °,800.0,Blanco frío (CW),4000.0,100.0,<6,80.0,70 %,50 a 60 Hz,8.0,92.0,31.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,50.0,No,Esmerilado,Cristal,600.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 600mm 8W 840 VWV T8,8719514453029,929003534411,1,20,929003534411,0.12,,,,Sí,,871951445302900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000X,,865 [ CCT de 6.500 K],240 °,800.0,Luz de día fría,6500.0,100.0,<6,80.0,70 %,50 a 60 Hz,8.0,92.0,31.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,50.0,No,Esmerilado,Cristal,600.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 600mm 8W 865 VWV T8,8719514453043,929003534511,1,20,929003534511,0.12,,,,Sí,,871951445304300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000X,,840 [ CCT de 4.000 K],240 °,1600.0,Blanco frío (CW),4000.0,100.0,<6,80.0,70 %,50 a 60 Hz,16.0,174.0,57.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 1200mm 16W 840 VWV T8,8719514453067,929003534611,1,20,929003534611,0.22,,,,Sí,,871951445306700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000X,,865 [ CCT de 6.500 K],240 °,1600.0,Luz de día fría,6500.0,100.0,<6,80.0,70 %,50 a 60 Hz,16.0,174.0,57.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 1200mm 16W 865 VWV T8,8719514453081,929003534711,1,20,929003534711,0.22,,,,Sí,,871951445308100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000X,,840 [ CCT de 4.000 K],240 °,2100.0,Blanco frío (CW),4000.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,209.0,69.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube HO 1200mm 18W840 VWV T8,8719514453104,929003534811,1,20,929003534811,0.22,,,,Sí,,871951445310400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000X,,865 [ CCT de 6.500 K],240 °,2100.0,Luz de día fría,6500.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,209.0,69.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,60.0,No,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube HO 1200mm 18W865 VWV T8,8719514453128,929003534911,1,20,929003534911,0.22,,,,Sí,,871951445312800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5 [ G5],Sí,30000.0,50000,,840 [ CCT de 4.000 K],200 °,1850.0,Blanco frío (CW),4000.0,115.0,<6,80.0,70 %,50 a 60 Hz,16.0,175.0,70.0,,0.5,0.5,,0.92,100-240 V,45.0,-20.0,65.0,-40.0,70.0,No,,,1200.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 1200mm 16W840 G5 I MX,8718696667521,929001275212,1,20,929001275212,0.124,,,Sí,Sí,335489.0,871869666752100.0,ESSENTIAL LEDTUBE 1200MM 16W840 G5 I MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5 [ G5],Sí,30000.0,50000,,840 [ CCT de 4.000 K],200 °,900.0,Blanco frío (CW),4000.0,112.0,<6,80.0,70 %,50 a 60 Hz,8.0,75.0,30.0,,0.5,0.5,,0.92,100-240 V,45.0,-20.0,65.0,-40.0,70.0,No,,,600.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 600mm 8W840 G5 I MX,8718696667569,929001275412,1,20,929001275412,0.07,,,Sí,Sí,359570.0,871869666756900.0,ESSENTIAL LEDTUBE 600MM 8W840 G5 I MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5 [ G5],Sí,30000.0,50000,,865 [ CCT de 6.500 K],200 °,900.0,Luz de día fría,6500.0,112.0,<6,80.0,70 %,50 a 60 Hz,8.0,75.0,30.0,,0.5,0.5,,0.92,100-240 V,45.0,-20.0,65.0,-40.0,70.0,No,,Cristal,600.0,"Tubo, terminal doble",Sí,,,,CorePro LEDtube 600mm 8W865 G5 I MX,8718696667583,929001275512,1,20,929001275512,0.07,,,Sí,Sí,359588.0,871869666758300.0,ESSENTIAL LEDTUBE 600MM 8W865 G5 I MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000,,865 [ CCT de 6.500 K],240 °,800.0,Luz de día fría,6500.0,100.0,<6,80.0,70 %,50 a 60 Hz,8.0,81.0,33.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,55.0,No,,,600.0,"Tubo, terminal doble",Sí,Sí,,,CorePro LEDtube 600mm 8W 865 VWV T8,8718699599362,929001947411,1,10,929001947411,0.12,,,,Sí,112250.0,871869959936200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13 [ Medium Bi-Pin Fluorescent],Sí,30000.0,200000,,865 [ CCT de 6.500 K],240 °,2100.0,Luz de día fría,6500.0,116.0,<6,80.0,70 %,50 a 60 Hz,18.0,183.0,68.0,,0.5,0.5,,0.9,100-277 V,45.0,-20.0,65.0,-40.0,55.0,No,,,1200.0,"Tubo, terminal doble",Sí,Sí,,,CorePro LEDtube HO 1200mm 18W865 VWV T8,8718699599447,929001947811,1,10,929001947811,0.183,,,,Sí,112011.0,871869959944700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
